Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-06,232.16995239257812,110.16000366210938,238.8300018310547,19.3799991607666,412.7750549316406,128.65194702148438,374.32000732421875,232.74734282564026,112.55999755859375,239.66000366210938,19.700000762939453,415.13763159687187,128.74193900024156,375.3999938964844,229.39250557129796,109.0199966430664,236.00999450683594,19.219999313354492,410.96837509421607,125.18270971123121,363.17999267578125,230.24863411824003,110.93000030517578,238.00999450683594,19.510000228881836,410.96837509421607,127.3922271289814,373.0299987792969,29925300,50426600,60897100,45553800,16309800,251483600,77918200
2025-02-07,226.60513305664062,107.55999755859375,229.14999389648438,19.100000381469727,406.7494812011719,129.81170654296875,361.6199951171875,232.946448173879,109.91999816894531,234.80999755859375,19.360000610351562,415.58430218979566,130.3415898450845,380.54998779296875,226.236788599926,106.79000091552734,228.05999755859375,19.030000686645508,405.1115698860282,124.97276475304243,360.3399963378906,231.55275755143822,109.12999725341797,232.5,19.350000381469727,413.4302096384315,129.19184651154228,370.19000244140625,39707200,46082500,77539300,58277900,22886800,228186300,70298300
2025-02-10,226.8741912841797,110.4800033569336,233.13999938964844,19.770000457763672,409.201416015625,133.54090881347656,350.7300109863281,229.80417456619486,111.4000015258789,233.9199981689453,20.079999923706055,412.41768060214906,134.97058996230598,362.70001220703125,226.42572786906877,108.1500015258789,229.1999969482422,19.239999771118164,407.91094771202364,129.93169464945112,350.510009765625,228.7876615470872,108.44000244140625,230.5500030517578,19.25,410.6804954197058,130.06165595495793,356.2099914550781,33115600,34905400,35419900,73007300,20817900,216989100,77514900
2025-02-11,231.8272705078125,111.0999984741211,232.75999450683594,20.969999313354492,408.4271240234375,132.77108764648438,328.5,234.42837673351212,113.06999969482422,233.44000244140625,21.8799991607666,409.4694230026259,134.45071452657314,349.3699951171875,227.3525813044295,108.94000244140625,230.1300048828125,19.860000610351562,406.30278019920314,130.991476437857,325.1000061035156,227.42233485023965,108.9800033569336,231.9199981689453,19.8700008392334,406.64031711794166,132.55113432807275,345.79998779296875,53718400,35033800,23713700,150960700,18140600,178902400,118543400
2025-02-12,236.06277465820312,111.72000122070312,228.92999267578125,22.479999542236328,406.0447082519531,131.11143493652344,336.510009765625,236.15247950770552,111.83999633789062,231.17999267578125,22.559999465942383,407.742177856358,132.21120144058102,346.3999938964844,229.89386689621963,109.05999755859375,228.16000366210938,20.93000030517578,401.40889219439293,129.05188607934784,329.1199951171875,230.41209906543347,109.5199966430664,230.4600067138672,21.979999542236328,404.2280919312538,129.9916837727306,329.94000244140625,45243300,25319700,32285200,162631200,19121700,160278600,105382700
2025-02-13,240.7069091796875,111.80999755859375,230.3699951171875,24.1299991607666,407.5337219238281,135.26052856445312,355.94000244140625,241.5141464162941,114.5999984741211,230.4199981689453,24.829999923706055,407.99034497113007,136.4702717517269,358.69000244140625,234.76722827404518,110.4000015258789,227.52000427246094,22.790000915527344,403.38430804391083,131.1414307383845,342.8500061035156,236.10265815205582,112.0,228.85000610351562,22.84000015258789,404.01963601763975,131.53134519031366,345.0,53614100,40911800,31346500,248661300,23891700,197430000,89441500
2025-02-14,243.7664337158203,113.0999984741211,228.67999267578125,23.600000381469727,405.43914794921875,138.81976318359375,355.8399963378906,244.71319316935814,114.62999725341797,229.88999938964844,25.190000534057617,405.91564391864586,139.21966995740726,362.0,240.1687356269457,111.69999694824219,227.22999572753906,22.860000610351562,402.9078331667541,135.47048674490975,347.5,240.4278440984732,112.6500015258789,229.1999969482422,24.360000610351562,404.80385028408716,136.45026901957874,360.6199951171875,40896200,32477200,27031100,230254100,22758500,195479600,68277300
2025-02-18,243.6368865966797,114.27999877929688,226.64999389648438,27.389999389648438,406.64031982421875,139.36964416503906,354.1099853515625,244.34445851454996,115.55000305175781,229.3000030517578,27.549999237060547,407.593281493885,143.408773131914,359.1000061035156,241.01584434943877,113.44999694824219,223.72000122070312,24.489999771118164,403.5232987441634,137.89996298841217,350.0199890136719,243.31796980618805,114.05000305175781,228.82000732421875,24.600000381469727,405.012314606688,141.239247408195,355.010009765625,48822500,31720300,42975100,284292200,21423100,219176600,51631700
2025-02-19,244.03550720214844,114.69000244140625,226.6300048828125,25.719999313354492,411.73272705078125,139.19967651367188,360.55999755859375,245.17162160901916,116.11000061035156,226.8300018310547,26.329999923706055,412.44745587382107,141.32921755912488,367.3399963378906,242.33134319523683,113.13999938964844,223.7100067138672,25.459999084472656,404.66486996411237,137.1901197103136,353.6700134277344,243.8262313730556,114.25,225.52000427246094,25.979999542236328,404.89319663470326,139.47961431944915,354.0,32204200,28807700,28566700,151881700,24114200,167536000,67094400
2025-02-20,244.99224853515625,114.16999816894531,222.8800048828125,26.09000015258789,413.91107177734375,140.07948303222656,354.3999938964844,245.93900803040836,116.55000305175781,225.1300048828125,26.1200008392334,417.07410775463984,140.62936628696042,362.29998779296875,243.45748811790233,113.11000061035156,221.80999755859375,24.479999542236328,410.3402184035009,136.7601988439899,348.0,244.10528213544586,115.01000213623047,224.77999877929688,25.559999465942383,413.0755545581438,139.9994986264957,361.510009765625,32316900,27219600,30001700,144939600,23508700,143903600,45965400
