Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Date,,,,,
2010-08-09,42.194461822509766,42.30881015455068,41.883182136784,41.92765066331626,5492700
2010-08-10,42.26433563232422,42.45491777425805,41.92764471538562,41.95941002127633,7411000
2010-08-11,41.5782585144043,41.972126133640614,41.5782585144043,41.91495438151471,5544600
2010-08-12,41.40674591064453,41.514740248690494,41.1526378795247,41.2352257764955,4924700
2010-08-13,41.648128509521484,41.74341958729868,41.20344327550195,41.33684884570781,4516700
2010-08-16,41.565555572509766,41.61002410669445,41.16533876484758,41.482972536654415,3564500
2010-08-17,41.64178466796875,41.92765309127223,41.432145239302905,41.724367694394914,4357200
2010-08-18,41.622711181640625,41.82599652288447,41.45119114393997,41.7116530622206,3857900
2010-08-19,41.0764045715332,41.62273023830965,40.822296566960645,41.610027019099206,4549600
2010-08-20,41.16534423828125,41.47026998560363,40.84771042424114,40.84771042424114,5655000
2010-08-23,41.178043365478516,41.54649971635279,41.152632081276124,41.381328792390725,3263900
2010-08-24,41.15263366699219,41.44485617651938,40.79053133489249,40.97475951742842,5442800
2010-08-25,41.019222259521484,41.19709638395476,40.78417153983102,40.89217069827098,5322700
2010-08-26,40.739715576171875,41.17805183710562,40.561841396867706,41.17805183710562,4604900
2010-08-27,40.73335647583008,40.955699145850176,40.26325742919042,40.7841741956156,5227700
2010-08-30,40.403011322021484,40.93028450098306,40.403011322021484,40.7142910344841,3697900
2010-08-31,40.77147674560547,40.87311704626306,40.136209114696506,40.33314295268561,6624800
2010-09-01,41.533138275146484,41.63554934442411,41.29631633986339,41.29631633986339,6382100
2010-09-02,41.5843391418457,41.8019553147899,41.29631170425555,41.5843391418457,4158600
2010-09-03,41.9683723449707,42.05797958212459,41.67394786814677,41.67394786814677,5862600
2010-09-07,41.9107666015625,42.24999467119381,41.667542790711515,41.667542790711515,5284700
2010-09-08,41.87875747680664,42.051570007477466,41.76994940626474,41.88515938778772,4318900
2010-09-09,42.307586669921875,42.37799303094494,41.87234956688229,42.17957776800354,5835800
2010-09-10,42.50603485107422,42.563637429961446,42.154002813775094,42.3396192622392,4234800
2010-09-13,42.403621673583984,42.576434284991166,42.14759883022964,42.531630653646374,4469200
2010-09-14,42.230796813964844,42.47401575883434,42.19879213661679,42.35240384478551,4145400
2010-09-15,42.56362533569336,42.58922810233382,42.089986360915915,42.13478998172962,4745000
2010-09-16,42.634029388427734,42.666034065782775,42.35240385403345,42.49961853334723,4174900
2010-09-17,42.320411682128906,42.81965348612457,42.30760785558956,42.7300462332653,7908400
2010-09-20,42.81324768066406,42.870855128395895,42.275604212386085,42.41001507945558,5057100
2010-09-21,42.53801345825195,42.826040858846035,42.19878541857154,42.826040858846035,7455500
2010-09-22,42.66603469848633,42.819646408966534,42.44201172013525,42.646828961851604,5225800
2010-09-23,42.10918426513672,42.365207030377256,42.025978941805484,42.365207030377256,5877800
2010-09-24,42.3267936706543,42.50601299591337,42.13478028986053,42.30759282089765,6366300
2010-09-27,42.480411529541016,42.73003235043798,42.28199134847943,42.28839325966915,5230300
2010-09-28,42.74283218383789,42.82604238136273,42.12197863258738,42.4676085956514,5305300
2010-09-29,42.7236213684082,42.88363493158577,42.390795305618504,42.589210561326226,5553200
2010-09-30,42.525211334228516,43.08205547719454,42.403599448648805,42.85163552726825,7002300
2010-10-01,42.8836555480957,42.8836555480957,42.422815483277176,42.73004382089911,5397000
2010-10-04,42.800445556640625,42.87724897026855,42.57642257828389,42.87724897026855,4890200
2010-10-05,43.370086669921875,43.40848837054407,42.82604141712189,42.902844818366276,7246100
2010-10-06,43.59408950805664,43.59408950805664,43.13965163752702,43.23566073878837,7204100
2010-10-07,42.307586669921875,42.691618258903496,41.718737907934965,42.62761380794432,20029500
2010-10-08,42.08357620239258,42.33959893540244,41.77634794613525,42.32679511297684,8810500
2010-10-11,41.93635940551758,42.08997596742703,41.79555154860808,42.0771721456543,5283100
2010-10-12,42.294795989990234,42.544416815721654,41.60353606493668,41.7891524272137,7807800
2010-10-13,42.4996223449707,42.755645137088266,42.37160850729763,42.44201489721067,5990500
2010-10-14,42.65322494506836,42.78123387213666,42.531613046094186,42.531613046094186,6162300
2010-10-15,42.678829193115234,42.88364641349236,42.53801643850076,42.81324003618512,6272100
2010-10-18,42.56362533569336,42.896451535562484,42.55082639398734,42.76844258558861,4820100
2010-10-19,41.865966796875,42.384409374386735,41.57153743239142,42.28199831139623,8357700
2010-10-20,41.5843391418457,42.12838445743421,41.52033467234612,42.0515761640979,11569400
2010-10-21,41.718753814697266,41.90437021151035,41.48833379680713,41.61634274753345,8670700
2010-10-22,41.60992431640625,41.92354950263414,41.50751330191701,41.7571340457021,5043200
2010-10-25,41.63554382324219,41.81475828748431,41.52673085575697,41.7187491435752,6580800
2010-10-26,41.4691276550293,41.59713658943393,41.31551595709818,41.47552956671788,6900800
2010-10-27,41.13628387451172,41.28990040810312,40.82265866407533,41.2834984983969,7961700
2010-10-28,41.60992431640625,41.68033066806112,41.187486206477054,41.20029002490118,6436100
2010-10-29,41.79555130004883,41.79555130004883,41.51392582145023,41.64833664990123,5549400
2010-11-01,41.955562591552734,42.17317871620807,41.69313797663985,41.91715601179297,5916600
2010-11-02,42.11559295654297,42.3076063989609,42.02598570676883,42.0963872173952,4670800
2010-11-03,41.7315559387207,42.083587904904974,41.3347252312717,42.06438704915471,7577100
2010-11-04,41.82754898071289,42.134777204000414,41.28350378346762,42.07716977572222,9981300
